algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
MOPSO,PySwarm + Pareto repository,1,20280719,7,1340.179513412487,-10.010729999837736,11.9708486478212,4.025685937356829,38.19971717548392,4266.206531394555,0.6289015872667273,False
MOPSO,PySwarm + Pareto repository,1,20280719,8,1501.9437618808743,-10.249606143004684,11.982022569156243,4.280325095108603,38.15095162572105,4775.048650339228,0.6140786410377319,False
MOPSO,PySwarm + Pareto repository,1,20280719,9,1539.9418007636757,-10.924700595175253,11.97409250070843,4.3989646008745185,38.1341342951156,4893.695619748681,0.6106504603686101,False
MOPSO,PySwarm + Pareto repository,1,20280719,10,1603.5383503108776,-10.873945934324922,11.964427672954033,4.329284576033297,38.092914572850276,5090.287449390126,0.605042191113673,False
MOPSO,PySwarm + Pareto repository,1,20280719,11,1735.2876380832013,-10.284389434005249,11.998396340205021,4.113684975625072,38.01356694915457,5497.03940052634,0.5934906581103182,False
MOPSO,PySwarm + Pareto repository,1,20280719,12,1836.7857439033246,-14.718706416345512,11.98563528931102,4.248446635648395,37.995302957986816,5815.769234043167,0.5842249929493624,False
MOPSO,PySwarm + Pareto repository,1,20280719,13,1872.0164590092618,-15.899218356880425,11.976537545269597,4.126951699861536,37.92892429690275,5916.964213026519,0.5816984295011304,False
MOPSO,PySwarm + Pareto repository,1,20280719,14,1930.445799923426,-13.228790633351764,11.925922099836034,3.9711568152885643,37.90404970641877,6097.642796320406,0.5765745846782008,False
MOPSO,PySwarm + Pareto repository,1,20280719,15,1990.9947904848593,-14.152835355250417,11.936853681917063,4.185846259948142,37.89555484951552,6287.487690659886,0.5710632940000705,False
MOPSO,PySwarm + Pareto repository,1,20280719,16,2111.2788617938268,-16.095408595021524,11.957627975928895,4.193993855595747,37.84853615410053,6659.067860999322,0.5605426592754983,False
MOPSO,PySwarm + Pareto repository,1,20280719,17,2187.0003604902063,-15.622434424941773,11.970456804487988,4.00198935358109,37.82228551850952,6893.112671961988,0.5539107493530746,False
MOPSO,PySwarm + Pareto repository,1,20280719,18,2262.392782435908,-17.1388408954909,11.969593540210084,4.322489710822744,37.783871317321996,7123.496480066367,0.5475229335267205,False
MOPSO,PySwarm + Pareto repository,1,20280719,19,2359.85241169618,-16.011103051623408,11.974537494838312,4.2368456883583026,37.726121164513806,7419.006501168348,0.5394697572348247,False
MOPSO,PySwarm + Pareto repository,1,20280719,20,2385.4666585788154,-17.590465964646953,11.94965704221677,4.153196720481237,37.69638765884115,7493.6229924189565,0.5376197546976008,False
MOPSO,PySwarm + Pareto repository,1,20280719,21,2425.7992882506032,-18.08220025705937,11.921136599723095,4.086064228773122,37.64216362650504,7609.361144449055,0.5348825509985616,False
