algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise,front_size_before_hv48,fixed_cardinality_limit,hv48_solution,scaled_minimization_efficiency,scaled_minimization_power,hv48_compromise_score,is_hv48_run_compromise
MOPSO,PySwarm + Pareto repository,5,20280723,14,1845.0134146230912,-11.947007133531416,11.984032716448173,3.899503829602186,37.98228247390526,5839.818390196561,0.5836005731162985,False,192,48,7,-0.9495570618476314,-0.21628957000728005,0.5836005731162985,False
MOPSO,PySwarm + Pareto repository,5,20280723,21,2154.3251313006776,-15.528938753013549,11.982013529383412,3.932467087576198,37.84910771663284,6794.94032927071,0.5565497910643145,False,192,48,8,-0.9462276929158209,-0.2516644566396559,0.5565497910643145,False
MOPSO,PySwarm + Pareto repository,5,20280723,22,2346.4544488649785,-18.10090547119262,12.0,4.047448233598012,37.75029280986619,7381.61187580551,0.5403043378567061,False,192,48,9,-0.9437573202466547,-0.2733930324372411,0.5403043378567061,False
MOPSO,PySwarm + Pareto repository,5,20280723,27,2586.981533308922,-18.707977383854058,11.97398428007164,4.1263171580455165,37.60006600403611,8105.889700303165,0.5209298629905981,False,192,48,10,-0.9400016501009028,-0.3002181370482654,0.5209298629905981,False
MOPSO,PySwarm + Pareto repository,5,20280723,33,2853.737080550393,-20.51935355513514,11.999780425829316,4.09552642937901,37.45271658250575,8906.683839903435,0.4998253649368435,False,192,48,11,-0.9363179145626438,-0.3298771792556828,0.4998253649368435,False
MOPSO,PySwarm + Pareto repository,5,20280723,38,3048.7184375043403,-23.974897771285043,12.0,3.9190191067956968,37.27394463909558,9469.813521643897,0.4867972682535115,False,192,48,12,-0.9318486159773895,-0.3507338341349591,0.48679726825351155,False
MOPSO,PySwarm + Pareto repository,5,20280723,41,3242.3441434722768,-23.51138860942679,11.985652945820794,4.0588151805112815,37.16860838937702,10042.784977692592,0.4725876061120735,False,192,48,13,-0.9292152097344255,-0.3719549991737997,0.47258760611207357,False
MOPSO,PySwarm + Pareto repository,5,20280723,44,3436.7556067118985,-24.84676115422945,11.993423264422333,3.958196289488324,37.02558323568012,10603.990064750144,0.4600484728151706,False,192,48,14,-0.925639580892003,-0.39274037276852386,0.4600484728151706,False
MOPSO,PySwarm + Pareto repository,5,20280723,48,3594.565618616593,-26.00666138566333,11.989207223554672,3.886540529358709,36.89555222435072,11051.956958793677,0.4509480702435955,False,192,48,15,-0.9223888056087681,-0.4093317392145806,0.45094807024359557,False
MOPSO,PySwarm + Pareto repository,5,20280723,53,3816.47160890924,-26.557349669231314,11.99137177944666,3.979030485156373,36.72016703057962,11678.45624555102,0.4389001193016367,False,192,48,16,-0.9180041757644904,-0.43253541650188965,0.4389001193016367,False
MOPSO,PySwarm + Pareto repository,5,20280723,56,3977.3464997385895,-27.75715683936069,12.0,3.962383743415415,36.59602143851033,12129.588147734788,0.4307998804634678,False,192,48,17,-0.9149005359627582,-0.4492440054716588,0.43079988046346773,False
MOPSO,PySwarm + Pareto repository,5,20280723,62,4190.549444900023,-31.60599549775856,11.975865093509016,4.035321550909412,36.39300858409428,12708.891826693169,0.422978205346294,False,192,48,18,-0.9098252146023571,-0.47069969728493216,0.42297820534629377,False
MOPSO,PySwarm + Pareto repository,5,20280723,67,4371.013094683445,-33.67836773723491,11.986248174258302,4.337426728553892,36.25064987879109,13204.338775915065,0.4160041547143903,False,192,48,19,-0.9062662469697772,-0.48904958429315054,0.4160041547143906,False
MOPSO,PySwarm + Pareto repository,5,20280723,72,4576.701195717293,-33.816819426380405,11.980548379149536,4.132367091533251,36.08213859765024,13761.43057199191,0.4095436111168435,False,192,48,20,-0.902053464941256,-0.5096826137774781,0.40954361111684323,False
MOPSO,PySwarm + Pareto repository,5,20280723,78,4802.898769974767,-34.542766508697525,11.988187344541467,4.108214080801116,35.889929448023786,14364.641500032882,0.4043617862827491,False,192,48,21,-0.8972482362005947,-0.5320237592604771,0.4043617862827491,False
MOPSO,PySwarm + Pareto repository,5,20280723,81,4984.379136135625,-35.10506174929033,11.996408842142545,4.089082022102001,35.72493940961119,14838.88688608128,0.4021159648393552,False,192,48,22,-0.8931234852402797,-0.5495884031881956,0.4021159648393552,True
MOPSO,PySwarm + Pareto repository,5,20280723,84,5082.383920586128,-34.194540716150826,11.990848856898308,4.192514633252551,35.604730233395124,15079.742369584512,0.4035003798626821,False,192,48,23,-0.8901182558348781,-0.5585089766512782,0.4035003798626821,False
MOPSO,PySwarm + Pareto repository,5,20280723,89,5289.991463603535,-39.74027267385766,11.998978150005488,4.012155336545439,35.414272584266584,15611.766638374913,0.4033027776188057,False,192,48,24,-0.8853568146066646,-0.5782135791990708,0.40330277761880573,False
MOPSO,PySwarm + Pareto repository,5,20280723,93,5436.934723686764,-37.5179627101324,11.98531443151856,4.07623308273665,35.27741379967868,15983.416337444974,0.4042209618517329,False,192,48,25,-0.8819353449919671,-0.5919783828683324,0.40422096185173295,False
MOPSO,PySwarm + Pareto repository,5,20280723,99,5711.013230453486,-41.64931667222551,11.981150668094502,4.153307578468071,35.03342220821198,16673.028144930136,0.407025095937466,False,192,48,26,-0.8758355552052995,-0.6175195609233384,0.407025095937466,False
MOPSO,PySwarm + Pareto repository,5,20280723,105,5929.774234228802,-42.85878141649836,11.996931323095074,4.051080988514485,34.82078593933588,17206.61660655587,0.4124506970371664,False,192,48,27,-0.8705196484833969,-0.6372820965391063,0.4124506970371664,False
MOPSO,PySwarm + Pareto repository,5,20280723,110,6110.507912446888,-44.24712341798812,11.98477985452464,4.01561852720751,34.62688119985706,17632.319296257083,0.4196414594609549,False,192,48,28,-0.8656720299964265,-0.6530488628243364,0.4196414594609549,False
MOPSO,PySwarm + Pareto repository,5,20280723,113,6272.535000183857,-45.23577407326791,11.967404390793476,4.198668726385904,34.47984431213554,18023.002520730035,0.4246986680229762,False,192,48,29,-0.8619961078033885,-0.6675186118788902,0.42469866802297623,False
MOPSO,PySwarm + Pareto repository,5,20280723,117,6407.836356947792,-45.626183968522,11.970559298453615,4.093910199541618,34.331867289805814,18332.748951793696,0.4316768315102693,False,192,48,30,-0.8582966822451453,-0.678990701918285,0.4316768315102693,False
